referee,ref_total_diff,ref_penalty_rate,ref_home_bias,ref_home_win_pct
Tony De Las Heras,8.97,16.0,-6.0,0
Jared Maxwell,-2.03,9.0,1.0,1
Tony Archer,-15.03,11.0,3.0,0
Ashley Klein,10.97,13.0,1.0,1
Ben Cummins,-11.03,7.0,3.0,1
Shayne Hayne,-9.03,15.0,3.0,1
Jared Maxwell,-11.03,7.0,3.0,0
Jason Robinson,-13.03,14.0,0.0,1
Steve Lyons,-9.03,13.0,1.0,1
Ben Cummins,-15.03,13.0,5.0,0
Henry Perenara,10.97,8.0,-2.0,0
Ben Cummins,-11.03,11.0,1.0,1
Gavin Badger,-11.03,11.0,-1.0,1
Jason Robinson,-1.03,6.0,0.0,1
Steve Lyons,6.97,10.0,4.0,0
Henry Perenara,20.97,15.0,1.0,1
Ashley Klein,18.97,13.0,3.0,1
Tony De Las Heras,-5.03,7.0,1.0,0
Gavin Badger,0.97,18.0,-6.0,1
Shayne Hayne,8.97,10.0,0.0,1
Phil Haines,1.97,10.0,4.0,1
Ben Cummins,16.97,6.0,-4.0,0
Jared Maxwell,5.97,12.0,-4.0,1
Matt Cecchin,-13.03,10.0,0.0,0
Tony Archer,2.97,9.0,-1.0,0
Steve Lyons,6.97,14.0,2.0,1
Alan Shortall,-24.03,14.0,2.0,1
Tony Archer,-7.03,6.0,2.0,1
Henry Perenara,8.97,7.0,1.0,0
Jason Robinson,-8.03,14.0,4.0,1
Gavin Badger,-21.03,16.0,2.0,0
Matt Cecchin,24.97,8.0,2.0,0
Shayne Hayne,-19.03,13.0,7.0,0
Phil Haines,3.97,10.0,-2.0,1
Jared Maxwell,22.97,9.0,1.0,1
Jason Robinson,-13.03,8.0,0.0,0
Ben Cummins,20.97,9.0,5.0,1
Tony Archer,8.97,10.0,2.0,1
Gavin Badger,30.97,9.0,3.0,1
Matt Cecchin,-0.03,8.0,-4.0,1
Shayne Hayne,18.97,5.0,3.0,0
Steve Lyons,0.97,15.0,7.0,0
Jared Maxwell,-19.03,16.0,2.0,1
Tony Archer,-9.03,7.0,1.0,1
Ben Cummins,-7.03,12.0,4.0,1
Gavin Badger,-3.03,13.0,7.0,0
Ashley Klein,1.97,8.0,2.0,1
Steve Lyons,8.97,9.0,1.0,1
Matt Cecchin,4.97,13.0,-1.0,1
Chris James,22.97,10.0,2.0,1
Ashley Klein,10.97,11.0,3.0,0
Matt Cecchin,10.97,12.0,0.0,0
Shayne Hayne,-7.03,13.0,-1.0,1
Tony Archer,6.97,9.0,3.0,0
Jason Robinson,16.97,13.0,3.0,0
Steve Lyons,25.97,7.0,1.0,0
Ben Cummins,-7.03,13.0,1.0,0
Jared Maxwell,-8.03,10.0,0.0,0
Tony Archer,-25.03,7.0,1.0,1
Ben Cummins,10.97,11.0,5.0,1
Tony De Las Heras,4.97,11.0,3.0,1
Gavin Badger,-1.03,10.0,0.0,0
Steve Lyons,21.97,16.0,-2.0,1
Jason Robinson,3.97,13.0,1.0,1
Jared Maxwell,3.97,12.0,2.0,1
Shayne Hayne,-7.03,13.0,-1.0,0
Shayne Hayne,-17.03,10.0,6.0,1
Jason Robinson,-14.03,9.0,1.0,0
Matt Cecchin,14.97,11.0,-1.0,1
Tony De Las Heras,8.97,10.0,4.0,1
Brett Suttor,-2.03,14.0,2.0,0
Ashley Klein,8.97,12.0,0.0,1
Tony Archer,-7.03,8.0,4.0,1
Steve Lyons,9.97,14.0,4.0,1
Matt Cecchin,24.97,4.0,0.0,1
Gavin Badger,4.97,10.0,-4.0,1
Tony Archer,-15.03,14.0,0.0,1
Ben Cummins,12.97,9.0,3.0,0
Chris James,4.97,10.0,0.0,0
Steve Lyons,18.97,8.0,2.0,1
Jared Maxwell,-11.03,13.0,5.0,1
Jason Robinson,8.97,17.0,3.0,1
Tony Archer,-6.03,7.0,-1.0,1
Shayne Hayne,10.97,8.0,2.0,1
Gavin Badger,10.97,14.0,2.0,1
Ashley Klein,-13.03,15.0,1.0,1
Shayne Hayne,2.97,13.0,5.0,0
Tony Archer,-14.03,8.0,4.0,1
Shayne Hayne,0.97,14.0,2.0,1
Tony Archer,-7.03,5.0,-3.0,0
Tony Archer,-5.03,6.0,0.0,1
Matt Cecchin,-11.95,7.0,1.0,0
Shayne Hayne,-16.95,15.0,-3.0,0
Gavin Badger,2.05,10.0,2.0,0
Jason Robinson,-4.95,18.0,2.0,0
Steve Lyons,-22.95,14.0,0.0,0
Tony Archer,5.05,15.0,3.0,0
Jared Maxwell,-7.95,12.0,-2.0,1
Gerard Sutton,3.05,13.0,3.0,0
Ben Cummins,-0.95,13.0,-1.0,1
Jason Robinson,13.05,13.0,-3.0,0
Steve Lyons,-4.95,13.0,1.0,0
Matt Cecchin,-6.95,14.0,0.0,1
Tony Archer,-16.95,7.0,3.0,0
Chris James,-22.95,12.0,0.0,0
Shayne Hayne,-6.95,10.0,-4.0,1
Gavin Badger,15.05,12.0,2.0,0
Tony Archer,7.05,12.0,6.0,1
Shayne Hayne,-6.95,9.0,-1.0,0
Jason Robinson,-4.95,14.0,0.0,0
Chris James,7.05,11.0,1.0,1
Matt Cecchin,9.05,10.0,2.0,0
Steve Lyons,-18.95,12.0,2.0,1
Gavin Badger,23.05,14.0,0.0,0
Ben Cummins,-9.95,8.0,0.0,1
Matt Cecchin,4.05,10.0,2.0,0
Ashley Klein,-8.95,13.0,1.0,0
Jared Maxwell,-8.95,11.0,-3.0,1
Shayne Hayne,-17.95,11.0,-1.0,1
Tony De Las Heras,-6.95,7.0,-1.0,0
Tony Archer,7.05,11.0,3.0,1
Ben Cummins,-14.95,11.0,3.0,0
Jason Robinson,5.05,11.0,-5.0,0
Matt Cecchin,15.05,10.0,-4.0,1
Ben Cummins,7.05,7.0,1.0,1
Henry Perenara,-11.95,10.0,-2.0,0
Jared Maxwell,8.05,9.0,3.0,1
Tony Archer,-6.95,12.0,-4.0,1
Gavin Badger,9.05,9.0,1.0,0
Shayne Hayne,-7.95,14.0,-4.0,0
Steve Lyons,-12.95,9.0,-1.0,0
Gavin Badger,-10.95,9.0,5.0,1
Steve Lyons,-8.95,7.0,5.0,0
Chris James,-10.95,11.0,3.0,0
Matt Cecchin,-28.95,11.0,-3.0,1
Shayne Hayne,3.05,2.0,0.0,1
Tony Archer,-20.95,10.0,2.0,1
Jared Maxwell,19.05,6.0,-4.0,0
Henry Perenara,-10.95,10.0,0.0,1
Jared Maxwell,-24.95,12.0,2.0,1
Gavin Badger,-4.95,9.0,1.0,1
Matt Cecchin,-22.95,10.0,0.0,1
Jason Robinson,-0.95,17.0,-1.0,0
Ashley Klein,21.05,8.0,-2.0,0
Shayne Hayne,25.05,9.0,-1.0,1
Henry Perenara,1.05,12.0,4.0,1
Tony Archer,-10.95,5.0,-1.0,0
Matt Cecchin,11.05,11.0,1.0,1
Tony Archer,5.05,11.0,3.0,1
Shayne Hayne,-18.95,8.0,0.0,0
Jared Maxwell,-8.95,10.0,2.0,1
Henry Perenara,-4.95,11.0,-5.0,1
Jason Robinson,25.05,7.0,-1.0,0
Ashley Klein,20.05,10.0,-4.0,0
Alan Shortall,7.05,11.0,1.0,1
Ashley Klein,17.05,14.0,0.0,0
Tony Archer,-4.95,10.0,0.0,1
Jason Robinson,9.05,7.0,-1.0,1
Alan Shortall,-11.95,11.0,1.0,0
Henry Perenara,13.05,8.0,0.0,0
Tony De Las Heras,-10.95,11.0,5.0,1
Shayne Hayne,-10.95,12.0,0.0,1
Matt Cecchin,21.05,15.0,-3.0,1
Tony Archer,5.05,7.0,1.0,0
Jared Maxwell,-1.95,13.0,-9.0,0
Henry Perenara,15.05,16.0,2.0,1
Matt Cecchin,3.05,6.0,0.0,0
Gavin Badger,33.05,11.0,-1.0,1
Jason Robinson,-18.95,13.0,1.0,1
Tony De Las Heras,-15.95,19.0,-3.0,1
Tony Archer,5.05,6.0,2.0,1
Steve Lyons,17.05,17.0,-1.0,1
Ashley Klein,-12.95,17.0,3.0,1
Shayne Hayne,-3.95,8.0,2.0,0
Gavin Badger,-8.95,15.0,-1.0,1
Tony Archer,3.05,8.0,0.0,1
Ashley Klein,13.05,16.0,2.0,1
Shayne Hayne,-2.95,10.0,-2.0,0
Tony De Las Heras,-14.95,9.0,-1.0,1
Matt Cecchin,-14.95,15.0,1.0,1
Ben Cummins,3.05,13.0,1.0,1
Jason Robinson,1.05,13.0,-3.0,0
Tony Archer,-12.95,9.0,1.0,1
Shayne Hayne,-0.95,4.0,0.0,1
Gavin Badger,-0.95,12.0,0.0,0
Ben Cummins,0.05,10.0,-4.0,1
Matt Cecchin,-6.95,10.0,0.0,0
Ashley Klein,33.05,13.0,1.0,1
Henry Perenara,8.05,13.0,-1.0,1
Shayne Hayne,-24.95,10.0,0.0,0
Ashley Klein,7.05,10.0,2.0,0
Jason Robinson,-6.95,10.0,4.0,1
Matt Cecchin,21.05,14.0,4.0,0
Steve Lyons,5.05,7.0,3.0,0
Shayne Hayne,7.05,17.0,1.0,0
Jason Robinson,-28.95,13.0,-1.0,1
Steve Lyons,-1.95,10.0,4.0,1
Alan Shortall,-10.95,11.0,-1.0,0
Phil Haines,13.05,9.0,-5.0,1
Gavin Badger,29.05,12.0,0.0,0
Tony Archer,7.05,12.0,0.0,0
Tony Archer,-2.95,7.0,3.0,1
Jason Robinson,-26.95,14.0,0.0,1
Alan Shortall,17.05,15.0,1.0,1
Jared Maxwell,-3.95,10.0,2.0,0
Gavin Badger,-16.95,12.0,-4.0,1
Shayne Hayne,25.05,11.0,1.0,0
Phil Haines,17.05,12.0,0.0,1
Jason Robinson,-2.95,14.0,2.0,0
Matt Cecchin,-8.95,6.0,2.0,0
Ashley Klein,12.05,6.0,-2.0,1
Steve Lyons,9.05,13.0,7.0,1
Jared Maxwell,-0.95,6.0,4.0,1
Jason Robinson,11.05,12.0,0.0,0
Gerard Sutton,11.05,8.0,4.0,0
Matt Cecchin,5.05,7.0,1.0,0
Ashley Klein,7.05,6.0,4.0,1
Shayne Hayne,23.05,7.0,1.0,1
Jared Maxwell,-12.95,11.0,7.0,0
Matt Cecchin,3.05,5.0,-1.0,1
Ben Cummins,-22.95,7.0,-1.0,1
Jason Robinson,-2.95,10.0,0.0,1
Tony Archer,-4.95,11.0,1.0,0
Henry Perenara,3.05,16.0,2.0,1
Steve Lyons,23.05,10.0,0.0,0
Ashley Klein,-12.95,8.0,0.0,1
Shayne Hayne,5.05,5.0,3.0,0
Ben Cummins,-8.95,13.0,1.0,0
Jared Maxwell,-16.95,11.0,-1.0,1
Gerard Sutton,2.05,7.0,-3.0,0
Tony Archer,9.05,13.0,-1.0,1
Steve Lyons,-14.95,11.0,-1.0,1
Henry Perenara,-0.95,6.0,4.0,0
Ashley Klein,3.05,18.0,0.0,1
Matt Cecchin,4.05,10.0,-2.0,1
Ben Cummins,3.05,11.0,-1.0,1
Jason Robinson,11.05,15.0,-3.0,0
Shayne Hayne,9.05,8.0,4.0,1
Jared Maxwell,5.05,12.0,2.0,1
Steve Lyons,0.05,9.0,3.0,0
Matt Cecchin,1.05,9.0,-1.0,0
Tony Archer,-2.95,12.0,0.0,1
Ashley Klein,23.05,12.0,2.0,0
Matt Cecchin,-4.95,8.0,0.0,1
Ashley Klein,11.05,8.0,0.0,1
Jason Robinson,-4.95,10.0,4.0,0
Shayne Hayne,-26.95,12.0,4.0,0
Tony Archer,8.05,12.0,-4.0,0
Gavin Badger,-0.95,13.0,3.0,1
Ben Cummins,-0.95,6.0,4.0,0
Tony De Las Heras,36.05,10.0,2.0,1
Ben Cummins,-11.95,7.0,3.0,0
Shayne Hayne,-0.95,13.0,-1.0,1
Jared Maxwell,17.05,11.0,1.0,1
Gerard Sutton,-6.95,10.0,-2.0,1
Ashley Klein,23.05,11.0,1.0,1
Jason Robinson,-10.95,16.0,-4.0,0
Tony Archer,-4.95,10.0,0.0,1
Matt Cecchin,-10.95,8.0,0.0,1
Ben Cummins,4.05,9.0,-5.0,1
Matt Cecchin,-3.95,,,0
Shayne Hayne,3.05,13.0,5.0,1
Tony Archer,-13.95,10.0,2.0,1
Gavin Badger,-6.95,8.0,-2.0,0
Steve Lyons,-0.95,9.0,1.0,1
Jason Robinson,21.05,12.0,2.0,1
Ashley Klein,13.05,11.0,5.0,0
Tony Archer,-18.95,7.0,3.0,1
Matt Cecchin,-0.95,13.0,1.0,1
Steve Lyons,17.05,9.0,-1.0,1
Jared Maxwell,3.05,6.0,4.0,1
Ben Cummins,-4.95,8.0,2.0,1
Ashley Klein,23.05,12.0,2.0,1
Phil Haines,3.05,11.0,5.0,1
Shayne Hayne,-2.95,13.0,1.0,1
Matt Cecchin,-16.95,7.0,1.0,0
Shayne Hayne,-9.95,7.0,-1.0,1
Phil Haines,-0.95,10.0,4.0,0
Tony Archer,-8.95,12.0,4.0,0
Gavin Badger,11.05,10.0,-2.0,1
Jason Robinson,23.05,6.0,-2.0,0
Ashley Klein,17.05,9.0,-3.0,0
Steve Lyons,-3.95,10.0,2.0,0
Ashley Klein,-14.95,8.0,-2.0,1
Shayne Hayne,-10.95,17.0,-1.0,1
Matt Cecchin,8.05,7.0,3.0,1
Tony Archer,9.05,10.0,2.0,1
Shayne Hayne,-6.95,9.0,1.0,1
Tony Archer,13.05,8.0,0.0,1
Tony Archer,11.05,11.0,3.0,1
Shayne Hayne,-0.95,10.0,-2.0,1
Tony Archer,-22.95,9.0,-1.0,0
Ben Cummins,-2.846,13.0,-5.0,0
Shayne Hayne,-4.846,12.0,4.0,0
Jared Maxwell,9.154,15.0,3.0,1
Jason Robinson,-4.846,18.0,2.0,0
Henry Perenara,1.154,13.0,1.0,1
Luke Phillips,-0.846,12.0,2.0,1
Ashley Klein,-18.846,9.0,1.0,1
Gerard Sutton,11.154,16.0,4.0,1
Shayne Hayne,-4.846,13.0,-1.0,0
Jason Robinson,-12.846,14.0,2.0,0
Gerard Sutton,1.154,15.0,3.0,0
Ashley Klein,-10.846,14.0,2.0,0
Henry Perenara,-4.846,22.0,0.0,1
Luke Phillips,5.154,17.0,-1.0,1
Ben Cummins,-8.846,10.0,0.0,1
Jared Maxwell,-14.846,16.0,-6.0,1
Ben Cummins,-0.846,13.0,1.0,1
Shayne Hayne,8.154,10.0,0.0,1
Luke Phillips,-10.846,12.0,0.0,1
Gerard Sutton,-32.846,15.0,1.0,1
Henry Perenara,-8.846,12.0,0.0,1
Ashley Klein,35.154,11.0,-1.0,0
Gavin Badger,6.154,9.0,3.0,1
Jason Robinson,-0.846,17.0,1.0,1
Luke Phillips,-14.846,15.0,3.0,1
Shayne Hayne,-11.846,5.0,1.0,0
Jared Maxwell,17.154,13.0,-1.0,0
Ashley Klein,-3.846,6.0,2.0,0
Jason Robinson,-2.846,17.0,-3.0,0
Gerard Sutton,-0.846,8.0,0.0,1
Henry Perenara,-2.846,9.0,1.0,1
Ben Cummins,9.154,11.0,1.0,1
Ashley Klein,-14.846,11.0,3.0,0
Shayne Hayne,3.154,10.0,0.0,0
Henry Perenara,-21.846,11.0,-1.0,1
Chris James,-10.846,17.0,3.0,1
Ben Cummins,-5.846,10.0,2.0,1
Jared Maxwell,5.154,5.0,3.0,0
Luke Phillips,5.154,8.0,4.0,1
Jason Robinson,-2.846,21.0,7.0,1
Ashley Klein,-18.846,8.0,0.0,1
Ben Cummins,-2.846,11.0,-1.0,1
Henry Perenara,-26.846,10.0,2.0,1
Chris James,-4.846,7.0,5.0,1
Shayne Hayne,-13.846,15.0,5.0,0
Jared Maxwell,2.154,14.0,-2.0,1
Luke Phillips,-15.846,15.0,-1.0,0
Jason Robinson,9.154,16.0,8.0,1
Shayne Hayne,3.154,21.0,-1.0,1
Henry Perenara,5.154,10.0,0.0,1
Ashley Klein,-8.846,23.0,1.0,0
Gavin Badger,1.154,12.0,4.0,1
Ben Cummins,-10.846,19.0,-1.0,0
Luke Phillips,-4.846,10.0,0.0,0
Chris James,-8.846,15.0,3.0,0
Jason Robinson,15.154,14.0,4.0,1
Shayne Hayne,-2.846,14.0,-2.0,0
Henry Perenara,3.154,13.0,-1.0,1
Ashley Klein,3.154,15.0,-3.0,0
Chris James,-16.846,18.0,2.0,0
Jason Robinson,8.154,14.0,0.0,1
Gavin Badger,0.154,16.0,0.0,0
Luke Phillips,-4.846,14.0,-2.0,1
Ben Cummins,1.154,12.0,6.0,0
Luke Phillips,-2.846,8.0,-2.0,1
Ben Cummins,-4.846,14.0,-2.0,0
Chris James,-0.846,16.0,0.0,0
Ashley Klein,-3.846,17.0,1.0,1
Jason Robinson,17.154,11.0,-1.0,1
Shayne Hayne,-11.846,18.0,6.0,1
Gavin Badger,-18.846,8.0,2.0,1
Henry Perenara,-20.846,18.0,0.0,0
Ben Cummins,-2.846,20.0,6.0,1
Luke Phillips,23.154,10.0,0.0,1
Gavin Badger,3.154,15.0,1.0,1
Henry Perenara,27.154,14.0,4.0,1
Ashley Klein,-20.846,12.0,6.0,0
Chris James,9.154,11.0,1.0,1
Jason Robinson,11.154,20.0,-2.0,1
Matt Cecchin,-20.846,15.0,5.0,0
Jason Robinson,1.154,15.0,-1.0,1
Henry Perenara,-2.846,16.0,-2.0,1
Chris James,-21.846,12.0,0.0,0
Shayne Hayne,3.154,13.0,-1.0,0
Gavin Badger,-14.846,13.0,-3.0,1
Luke Phillips,-0.846,14.0,0.0,1
Matt Cecchin,5.154,11.0,3.0,0
Ben Cummins,-14.846,14.0,8.0,1
Jared Maxwell,-10.846,11.0,-3.0,1
Gavin Badger,2.154,13.0,3.0,1
Gerard Sutton,2.154,23.0,-7.0,1
Ben Cummins,33.154,11.0,-1.0,0
Adam Devcich,21.154,16.0,4.0,0
Henry Perenara,-18.846,17.0,-1.0,0
Matt Cecchin,21.154,14.0,-2.0,0
Ben Cummins,-6.846,16.0,0.0,1
Jared Maxwell,-2.846,10.0,2.0,0
Ashley Klein,3.154,9.0,1.0,1
Luke Phillips,7.154,12.0,-6.0,1
Jared Maxwell,-2.846,10.0,2.0,0
Shayne Hayne,21.154,17.0,3.0,0
Ben Cummins,-4.846,16.0,-6.0,1
Jason Robinson,5.154,16.0,2.0,1
Matt Cecchin,13.154,12.0,0.0,1
Henry Perenara,-10.846,6.0,0.0,1
Ashley Klein,-5.846,10.0,-2.0,0
Gavin Badger,3.154,15.0,5.0,1
Matt Cecchin,-2.846,13.0,3.0,0
Alan Shortall,-11.846,14.0,-2.0,1
Henry Perenara,-0.846,19.0,-7.0,0
Jared Maxwell,-10.846,8.0,4.0,1
Ben Cummins,-6.846,10.0,-2.0,1
Jared Maxwell,-14.846,11.0,-1.0,1
Gavin Badger,-5.846,5.0,3.0,1
Shayne Hayne,21.154,9.0,-1.0,1
Henry Perenara,-6.846,8.0,-2.0,1
Alan Shortall,-12.846,14.0,0.0,1
Matt Cecchin,-10.846,17.0,1.0,1
Luke Phillips,-8.846,10.0,-2.0,1
Matt Cecchin,17.154,11.0,3.0,1
Chris James,-4.846,13.0,7.0,0
Henry Perenara,17.154,11.0,1.0,0
Jason Robinson,3.154,13.0,-3.0,1
Shayne Hayne,-10.846,7.0,-1.0,0
Ashley Klein,2.154,9.0,-1.0,1
Gavin Badger,19.154,9.0,1.0,1
Luke Phillips,-3.846,11.0,3.0,0
Henry Perenara,-13.846,9.0,-1.0,0
Alan Shortall,-1.846,6.0,-2.0,1
Ashley Klein,7.154,11.0,1.0,0
Luke Phillips,-2.846,11.0,3.0,0
Jason Robinson,-26.846,11.0,5.0,1
Henry Perenara,-0.846,13.0,-3.0,1
Ashley Klein,5.154,15.0,-1.0,0
Ben Cummins,17.154,10.0,4.0,1
Gerard Sutton,-0.846,12.0,-4.0,0
Gerard Sutton,-6.846,14.0,2.0,0
Matt Cecchin,11.154,12.0,0.0,1
Alan Shortall,-0.846,18.0,4.0,0
Ashley Klein,-4.846,12.0,4.0,0
Henry Perenara,11.154,10.0,-2.0,1
Shayne Hayne,7.154,18.0,4.0,1
Jared Maxwell,-0.846,23.0,5.0,0
Luke Phillips,13.154,18.0,4.0,0
Ben Cummins,-4.846,5.0,1.0,0
Shayne Hayne,7.154,16.0,2.0,0
Ashley Klein,5.154,18.0,2.0,0
Matt Cecchin,-8.846,16.0,4.0,0
Luke Phillips,1.154,13.0,1.0,1
Jared Maxwell,31.154,14.0,0.0,0
Gavin Badger,1.154,12.0,4.0,1
Henry Perenara,18.154,21.0,3.0,0
Matt Cecchin,-6.846,11.0,1.0,1
Henry Perenara,7.154,10.0,0.0,1
Shayne Hayne,-8.846,10.0,4.0,0
Gavin Badger,9.154,17.0,-5.0,1
Jason Robinson,9.154,15.0,-3.0,1
Jared Maxwell,-1.846,11.0,3.0,1
Gerard Sutton,-0.846,11.0,1.0,0
Luke Phillips,1.154,23.0,1.0,0
Gavin Badger,-6.846,17.0,-1.0,1
Henry Perenara,-8.846,15.0,5.0,1
Matt Cecchin,-8.846,12.0,-2.0,1
Luke Phillips,-0.846,13.0,1.0,0
Ashley Klein,3.154,16.0,2.0,0
Jason Robinson,11.154,15.0,1.0,0
Jared Maxwell,-7.846,14.0,6.0,0
Phil Haines,29.154,18.0,4.0,0
Luke Phillips,-0.846,17.0,3.0,1
Matt Cecchin,7.154,14.0,2.0,1
Shayne Hayne,-8.846,8.0,0.0,1
Jared Maxwell,5.154,16.0,0.0,0
Jason Robinson,11.154,16.0,4.0,0
Ben Cummins,17.154,13.0,5.0,0
Adam Devcich,27.154,16.0,4.0,1
Henry Perenara,13.154,21.0,-1.0,1
Ashley Klein,3.154,16.0,0.0,0
Henry Perenara,9.154,11.0,-5.0,0
Gerard Sutton,7.154,10.0,-2.0,1
Jared Maxwell,-4.846,16.0,-2.0,1
Gavin Badger,25.154,8.0,2.0,1
Luke Phillips,8.154,13.0,-1.0,0
Matt Cecchin,11.154,10.0,2.0,0
Brett Suttor,7.154,11.0,-1.0,1
Gavin Badger,-13.846,10.0,4.0,1
Matt Cecchin,-4.846,16.0,6.0,0
Shayne Hayne,4.154,17.0,-3.0,1
Henry Perenara,-11.846,8.0,0.0,1
Gerard Sutton,31.154,12.0,4.0,1
Luke Phillips,19.154,10.0,2.0,1
Chris James,15.154,19.0,-7.0,0
Phil Haines,23.154,12.0,-4.0,0
Shayne Hayne,-10.846,15.0,1.0,1
Ben Cummins,-36.846,17.0,-7.0,1
Henry Perenara,-2.846,8.0,-2.0,1
Gavin Badger,-12.846,15.0,1.0,0
Shayne Hayne,1.154,7.0,1.0,1
Ben Cummins,-6.846,6.0,2.0,0
Ben Cummins,9.154,8.0,2.0,0
Shayne Hayne,13.154,9.0,-1.0,1
Shayne Hayne,3.154,7.0,3.0,1
Luke Phillips,-5.333,18.0,6.0,1
Shayne Hayne,-11.333,17.0,-1.0,0
Matt Cecchin,-3.333,9.0,-1.0,1
Gerard Sutton,3.667,19.0,-1.0,0
Gavin Badger,8.667,11.0,-3.0,1
Ashley Klein,26.667,10.0,2.0,1
Henry Perenara,10.667,18.0,0.0,1
Jared Maxwell,-11.333,17.0,-3.0,0
Shayne Hayne,-15.333,14.0,-2.0,1
Ben Cummins,-13.333,12.0,-4.0,1
Jared Maxwell,1.667,14.0,0.0,0
Ashley Klein,-6.333,21.0,1.0,1
Gavin Badger,18.667,16.0,6.0,1
Gerard Sutton,12.667,15.0,-1.0,0
Henry Perenara,4.667,12.0,-4.0,0
Matt Cecchin,4.667,17.0,-1.0,1
Matt Cecchin,-0.333,21.0,-1.0,1
Shayne Hayne,14.667,13.0,7.0,0
Ben Cummins,-7.333,11.0,5.0,1
Henry Perenara,-15.333,12.0,0.0,0
Ashley Klein,-5.333,15.0,3.0,0
Jared Maxwell,-1.333,14.0,6.0,1
Gavin Badger,-5.333,23.0,7.0,0
Gerard Sutton,6.667,22.0,8.0,1
